Year,Total Fireworks Consumption,Estimated Fireworks Related Injuries,Display Fireworks Revenue,Consumer Fireworks Revenue,Consumer Fireworks Consumption,Display Fireworks Consumption
1976,29000000,11100,,,,
1977,32200000,8300,,,,
1978,32800000,7100,,,,
1979,36000000,8100,,,,
1980,41200000,9400,,,,
1981,42100000,11400,,,,
1982,50700000,8500,,,,
1983,51900000,8200,,,,
1984,55000000,9900,,,,
1985,63600000,10300,,,,
1986,72100000,12600,,,,
1987,72800000,9000,,,,
1988,66800000,10200,,,,
1989,80200000,9700,,,,
1990,67600000,12000,,,,
1991,73700000,10900,,,,
1992,87100000,12500,,,,
1993,101900000,12000,,,,
1994,117000000,12500,,,,
1995,115000000,10900,,,,
1996,118000000,7300,,,,
1997,132900000,8300,,,,
1998,112600000,8500,"$141,000,000 ","$284,000,000 ",,
1999,156900000,8500,"$167,000,000 ","$333,000,000 ",,
2000,152600000,11000,"$203,000,000 ","$407,000,000 ",102000000,50600000
2001,161600000,9500,"$217,000,000 ","$433,000,000 ",107000000,54600000
2002,190100000,8800,"$242,000,000 ","$483,000,000 ",126000000,64100000
2003,220800000,9700,"$258,000,000 ","$517,000,000 ",196000000,24800000
2004,236200000,9600,"$272,000,000 ","$543,000,000 ",212000000,24200000
2005,281500000,10800,"$293,000,000 ","$587,000,000 ",255000000,26500000
2006,278200000,9200,"$300,000,000 ","$600,000,000 ",252000000,26200000
2007,265500000,9800,"$310,000,000 ","$620,000,000 ",238600000,26900000
2008,213200000,7000,"$313,000,000 ","$627,000,000 ",186400000,26800000
2009,213900000,8800,"$315,000,000 ","$630,000,000 ",182200000,31700000
2010,205900000,8600,"$316,000,000 ","$636,000,000 ",184400000,21500000
2011,234100000,9600,"$318,000,000 ","$649,000,000 ",212100000,22000000
2012,207500000,8600,"$320,000,000 ","$645,000,000 ",185500000,22000000
2013,186400000,11400,"$328,000,000 ","$662,000,000 ",163300000,23100000
2014,225300000,10500,"$332,000,000 ","$695,000,000 ",201600000,23700000
2015,285300000,12000,"$340,000,000 ","$755,000,000 ",260700000,24600000
2016,268400000,11100,"$345,000,000 ","$825,000,000 ",243900000,24500000
2017,254400000,12800,"$353,000,000 ","$885,000,000 ",229000000,25400000
